frame,Chest_x,Chest_y,Chest_conf,Nose_x,Nose_y,Nose_conf,Left Shoulder_x,Left Shoulder_y,Left Shoulder_conf,Right Shoulder_x,Right Shoulder_y,Right Shoulder_conf,Left Elbow_x,Left Elbow_y,Left Elbow_conf,Right Elbow_x,Right Elbow_y,Right Elbow_conf
0,0.5347861289978026,0.3631855646769205,0.9970941543579102,0.5347861289978026,0.2809898832243243,0.9970941543579102,0.5894150733947754,0.3588957044813368,0.9970941543579102,0.48015718460083,0.3674754248725043,0.997349977493286,0.6220265388488769,0.5028239356146919,0.990344226360321,0.4551738739013672,0.504799567328559,0.9896698594093324
1,0.5347623348236084,0.3631862216525607,0.9970844388008118,0.5347623348236084,0.2809700957086263,0.9970844388008118,0.5894030570983887,0.3588723076714409,0.9970844388008118,0.4801216125488281,0.3675001356336805,0.9973425269126892,0.6220296859741211,0.5027222527398003,0.990340769290924,0.4551021575927734,0.5048037634955512,0.989610195159912
2,0.534501600265503,0.3639724731445312,0.9971561431884766,0.534501600265503,0.2812570466769914,0.9971561431884766,0.5894587516784668,0.3594414605034722,0.9971561431884766,0.479544448852539,0.3685034857855903,0.9975427389144896,0.6243509292602539,0.4993822309705946,0.9918445944786072,0.4514925479888916,0.4986751556396484,0.9915665984153748
3,0.5339683771133422,0.3648061540391709,0.9974673986434937,0.5339683771133422,0.2817402566665418,0.9974673986434937,0.5891499042510986,0.3601542154947916,0.9974673986434937,0.4787868499755859,0.3694580925835503,0.9977495074272156,0.6281354904174805,0.5006646474202474,0.9924922585487366,0.4480210781097412,0.4964121924506293,0.9915512800216676
4,0.5332265853881836,0.3653794818454318,0.9977891445159912,0.5332265853881836,0.2805400121608812,0.9977891445159912,0.5895644664764405,0.3603758070203993,0.9977891445159912,0.4768887042999267,0.3703831566704644,0.9979754090309144,0.6310786724090576,0.4987752702501085,0.991665542125702,0.4413591384887695,0.4971623314751519,0.9917665123939514
5,0.5327013492584228,0.3653200361463758,0.9979140162467957,0.5327013492584228,0.2793927809647602,0.9979140162467957,0.5897573947906494,0.360205332438151,0.9979140162467957,0.4756453037261963,0.3704347398546007,0.9980756044387816,0.6347129344940186,0.493248536851671,0.9918972253799438,0.4365205287933349,0.4953468746609158,0.9917016625404358
6,0.5320298194885253,0.3646254645453559,0.9980624318122864,0.5320298194885253,0.27919736110162185,0.9980624318122864,0.5887238502502441,0.359210205078125,0.9981024861335754,0.4753357887268066,0.3700407240125868,0.9980624318122864,0.6372958660125733,0.4819513108995226,0.993340790271759,0.4320775985717773,0.4835340287950304,0.9922307133674622
7,0.5318491458892822,0.3649602466159396,0.9982788562774658,0.5318491458892822,0.2782840082045233,0.9982788562774658,0.5893598556518554,0.3593453301323784,0.9984526634216307,0.474338436126709,0.3705751630995009,0.9982788562774658,0.6422833442687989,0.4802127838134765,0.9943501353263856,0.4262128353118896,0.4793624877929687,0.99362975358963
8,0.5316084623336792,0.3645265791151258,0.998381733894348,0.5316084623336792,0.27714526477470897,0.998381733894348,0.5896801471710205,0.3599187215169271,0.9985917210578918,0.4735367774963379,0.3691344367133246,0.998381733894348,0.6492035865783692,0.4727961222330729,0.9951882362365724,0.4194002151489258,0.4717678070068359,0.9939737915992736
9,0.5314527750015259,0.3645314322577582,0.9985278844833374,0.5314527750015259,0.27568969903946944,0.9985278844833374,0.5905211925506592,0.360188971625434,0.998819887638092,0.4723843574523926,0.3688738928900825,0.9985278844833374,0.6565211772918701,0.467384762234158,0.9952836632728576,0.4149197101593017,0.4684938218858507,0.994211733341217
10,0.5306005954742432,0.3627754211425781,0.9986647367477416,0.5306005954742432,0.2735535969915752,0.9986647367477416,0.5898872375488281,0.3579682244194878,0.9989691972732544,0.4713139533996582,0.3675826178656684,0.9986647367477416,0.6592246055603027,0.4474651336669922,0.9954174757003784,0.4069910049438476,0.4579460991753472,0.9936169385910034
11,0.5304888963699341,0.360563744439019,0.9986166954040528,0.5304888963699341,0.2710861824970002,0.9986166954040528,0.5899757385253906,0.356131829155816,0.998724639415741,0.4710020542144775,0.3649956597222222,0.9986166954040528,0.6613634109497071,0.4331930796305338,0.9942924976348876,0.4037501811981201,0.4454914093017578,0.993313729763031
12,0.5306961536407471,0.3577815797593858,0.9984579086303712,0.5306961536407471,0.2674206985389913,0.9984579086303712,0.5908143043518066,0.3539427863226996,0.9984579086303712,0.4705780029296875,0.361620373196072,0.9985074400901794,0.6684257507324218,0.4202579074435764,0.9897311329841614,0.4000518321990967,0.427190907796224,0.992500364780426
13,0.5302517890930176,0.3562800089518229,0.998467743396759,0.5302517890930176,0.26587050373866267,0.998467743396759,0.5902934551239014,0.3510042826334635,0.998467743396759,0.4702101230621338,0.3615557352701823,0.9986226558685304,0.6694018840789795,0.4018772549099392,0.989779770374298,0.3957511901855469,0.4174381679958767,0.9934749007225036
14,0.5282957792282104,0.3529274410671658,0.9983932375907898,0.5282957792282104,0.26125528555631955,0.9983932375907898,0.5892537593841553,0.3485525343153212,0.9983932375907898,0.4673377990722656,0.3573023478190104,0.9987035989761353,0.6659693717956543,0.3794674343532986,0.9858720898628236,0.395347785949707,0.3981792873806423,0.9936323761940002
15,0.5274493217468261,0.3512994554307725,0.9985862970352172,0.5274493217468261,0.26013357328849773,0.9985862970352172,0.5880663394927979,0.3468890296088324,0.9985862970352172,0.4668323040008545,0.3557098812527127,0.9986477494239808,0.6632952690124512,0.3699420505099826,0.9923585057258606,0.3913432598114014,0.3918985154893663,0.9943996071815492
16,0.5266156435012818,0.348463503519694,0.9985935091972352,0.5266156435012818,0.257342125796301,0.9985935091972352,0.5873061656951905,0.3458310869004991,0.998681366443634,0.465925121307373,0.3510959201388889,0.9985935091972352,0.6669222831726074,0.3521642896864149,0.9917307496070862,0.3932961940765381,0.3739727444118924,0.9938367009162904
17,0.5265588998794556,0.3459475835164388,0.9982991814613342,0.5265588998794556,0.2544303344904799,0.9982991814613342,0.5875235557556152,0.3435572306315104,0.9982991814613342,0.4655942440032959,0.3483379364013672,0.9986287355422974,0.6658970355987549,0.3391797807481553,0.982161283493042,0.3919042110443115,0.3649628533257378,0.9944937825202942
18,0.5261123418807983,0.3426172892252604,0.9985094666481018,0.5261123418807983,0.25073997231443923,0.9985094666481018,0.5873305797576904,0.3405976189507378,0.9985094666481018,0.4648941040039062,0.344636959499783,0.9986384510993958,0.6663801670074463,0.3281164381239149,0.9902774095535278,0.3891828536987304,0.3497834099663628,0.9945355653762816
